flow_id,size,source,target,fct
70,1023,35,71,1552
1,1023,36,0,2046
3,1023,37,1,2046
5,1023,38,2,2046
7,1023,39,3,2046
9,1023,40,4,2046
11,1023,41,5,2046
13,1023,42,6,2046
15,1023,43,7,2046
17,1023,44,8,2046
19,1023,45,9,2046
21,1023,46,10,2046
23,1023,47,11,2046
25,1023,48,12,2046
27,1023,49,13,2046
29,1023,50,14,2046
31,1023,51,15,2046
33,1023,52,16,2046
35,1023,53,17,2046
37,1023,54,18,2046
39,1023,55,19,2046
41,1023,56,20,2046
43,1023,57,21,2046
45,1023,58,22,2046
47,1023,59,23,2046
49,1023,60,24,2046
51,1023,61,25,2046
53,1023,62,26,2046
55,1023,63,27,2046
57,1023,64,28,2046
59,1023,65,29,2046
61,1023,66,30,2046
63,1023,67,31,2046
65,1023,68,32,2046
67,1023,69,33,2046
69,1023,70,34,2046
71,1023,71,35,2046
0,1023,0,36,2046
2,1023,1,37,2046
4,1023,2,38,2046
6,1023,3,39,2046
8,1023,4,40,2046
10,1023,5,41,2046
12,1023,6,42,2046
14,1023,7,43,2046
16,1023,8,44,2046
18,1023,9,45,2046
20,1023,10,46,2046
22,1023,11,47,2046
24,1023,12,48,2046
26,1023,13,49,2046
28,1023,14,50,2046
30,1023,15,51,2046
32,1023,16,52,2046
34,1023,17,53,2046
36,1023,18,54,2046
38,1023,19,55,2046
40,1023,20,56,2046
42,1023,21,57,2046
44,1023,22,58,2046
46,1023,23,59,2046
48,1023,24,60,2046
50,1023,25,61,2046
52,1023,26,62,2046
54,1023,27,63,2046
56,1023,28,64,2046
58,1023,29,65,2046
60,1023,30,66,2046
62,1023,31,67,2046
64,1023,32,68,2046
66,1023,33,69,2046
68,1023,34,70,2046
