node_id,gp
0,0.848411
1,0.848411
2,0.848411
3,0.848411
4,0.848411
5,0.848411
6,0.848411
7,0.848411
8,0.848411
9,0.848411
10,0.848411
11,0.848411
12,0.848411
13,0.848411
14,0.848411
15,0.848411
16,0.848411
17,0.848411
18,0.848411
19,0.848411
20,0.848411
21,0.848411
22,0.848411
23,0.848411
24,0.848411
25,0.848411
26,0.848411
27,0.848411
28,0.848411
29,0.848411
30,0.848411
31,0.848411
32,0.848411
33,0.848411
34,0.848411
35,0.848411
36,0.848411
37,0.848411
38,0.848411
39,0.848411
40,0.848411
41,0.848411
42,0.848411
43,0.848411
44,0.848411
45,0.848411
46,0.848411
47,0.848411
48,0.848411
49,0.848411
50,0.848411
51,0.848411
52,0.848411
53,0.848411
54,0.848411
55,0.848411
56,0.848411
57,0.848411
58,0.848411
59,0.848411
60,0.848411
61,0.848411
62,0.848411
63,0.848411
64,0.848411
65,0.848411
66,0.848411
67,0.848411
68,0.848411
69,0.848411
70,0.848411
71,0.848411
72,0.848411
73,0.848411
74,0.848411
75,0.848411
76,0.848411
77,0.848411
78,0.848411
79,0.848411
80,0.848411
81,0.848411
82,0.848411
83,0.848411
84,0.848411
85,0.848411
86,0.848411
87,0.848411
88,0.848411
89,0.848411
90,0.848411
91,0.848411
92,0.848411
93,0.848411
94,0.848411
95,0.848411
96,0.848411
97,0.848411
98,0.848411
99,0.848411
100,0.848411
101,0.848411
102,0.848411
103,0.848411
104,0.848411
105,0.848411
106,0.848411
107,0.848411
108,0.848411
109,0.848411
110,0.848411
111,0.848411
112,0.848411
113,0.848411
114,0.848411
115,0.848411
116,0.848411
117,0.848411
118,0.848411
119,0.848411
120,0.848411
121,0.848411
122,0.848411
123,0.848411
124,0.848411
125,0.848411
126,0.848411
127,0.848411
128,0.848411
129,0.848411
130,0.848411
131,0.848411
132,0.848411
133,0.848411
134,0.848411
135,0.848411
136,0.848411
137,0.848411
138,0.848411
139,0.848411
140,0.848411
141,0.848411
142,0.848411
143,0.848411
144,0.848411
145,0.848411
146,0.848411
147,0.848411
148,0.848411
149,0.848411
150,0.848411
151,0.848411
152,0.848411
153,0.848411
154,0.848411
155,0.848411
156,0.848411
157,0.848411
158,0.848411
159,0.848411
160,0.848411
161,0.848411
162,0.848411
163,0.848411
164,0.848411
165,0.848411
166,0.848411
167,0.848411
168,0.848411
169,0.848411
170,0.848411
171,0.848411
172,0.848411
173,0.848411
174,0.848411
175,0.848411
176,0.848411
177,0.848411
178,0.848411
179,0.848411
180,0.848411
181,0.848411
182,0.848411
183,0.848411
184,0.848411
185,0.848411
186,0.848411
187,0.848411
188,0.848411
189,0.848411
190,0.848411
191,0.848411
192,0.848411
193,0.848411
194,0.848411
195,0.848411
196,0.848411
197,0.848411
198,0.848411
199,0.848411
200,0.848411
201,0.848411
202,0.848411
203,0.848411
204,0.848411
205,0.848411
206,0.848411
207,0.848411
208,0.848411
209,0.848411
210,0.848411
211,0.848411
212,0.848411
213,0.848411
214,0.848411
215,0.848411
216,0.848411
217,0.848411
218,0.848411
219,0.848411
220,0.848411
221,0.848411
222,0.848411
223,0.848411
224,0.848411
225,0.848411
226,0.848411
227,0.848411
228,0.848411
229,0.848411
230,0.848411
231,0.848411
232,0.848411
233,0.848411
234,0.848411
235,0.848411
236,0.848411
237,0.848411
238,0.848411
239,0.848411
240,0.848411
241,0.848411
242,0.848411
243,0.848411
244,0.848411
245,0.848411
246,0.848411
247,0.848411
248,0.848411
249,0.848411
250,0.848411
251,0.848411
252,0.848411
253,0.848411
254,0.848411
255,0.848411
256,0.848411
257,0.848411
258,0.848411
259,0.848411
260,0.848411
261,0.848411
262,0.848411
263,0.848411
264,0.848411
265,0.848411
266,0.848411
267,0.848411
268,0.848411
269,0.848411
270,0.848411
271,0.848411
272,0.848411
273,0.848411
274,0.848411
275,0.848411
276,0.848411
277,0.848411
278,0.848411
279,0.848411
280,0.848411
281,0.848411
282,0.848411
283,0.848411
284,0.848411
285,0.848411
286,0.848411
287,0.848411
288,0.848411
289,0.848411
290,0.848411
291,0.848411
292,0.848411
293,0.848411
294,0.848411
295,0.848411
296,0.848411
297,0.848411
298,0.848411
299,0.848411
300,0.848411
301,0.848411
302,0.848411
303,0.848411
304,0.848411
305,0.848411
306,0.848411
307,0.848411
308,0.848411
309,0.848411
310,0.848411
311,0.848411
312,0.848411
313,0.848411
314,0.848411
315,0.848411
316,0.848411
317,0.848411
318,0.848411
319,0.848411
320,0.848411
321,0.848411
322,0.848411
323,0.848411
324,0.848411
325,0.848411
326,0.848411
327,0.848411
328,0.848411
329,0.848411
330,0.848411
331,0.848411
332,0.848411
333,0.848411
334,0.848411
335,0.848411
336,0.848411
337,0.848411
338,0.848411
339,0.848411
340,0.848411
341,0.848411
342,0.848411
343,0.848411
344,0.848411
345,0.848411
346,0.848411
347,0.848411
348,0.848411
349,0.848411
350,0.848411
351,0.848411
352,0.848411
353,0.848411
354,0.848411
355,0.848411
356,0.848411
357,0.848411
358,0.848411
359,0.848411
360,0.848411
361,0.848411
362,0.848411
363,0.848411
364,0.848411
365,0.848411
366,0.848411
367,0.848411
368,0.848411
369,0.848411
370,0.848411
371,0.848411
372,0.848411
373,0.848411
374,0.848411
375,0.848411
376,0.848411
377,0.848411
378,0.848411
379,0.848411
380,0.848411
381,0.848411
382,0.848411
383,0.848411
384,0.848411
385,0.848411
386,0.848411
387,0.848411
388,0.848411
389,0.848411
390,0.848411
391,0.848411
392,0.848411
393,0.848411
394,0.848411
395,0.848411
396,0.848411
397,0.848411
398,0.848411
399,0.848411
400,0.848411
401,0.848411
402,0.848411
403,0.848411
404,0.848411
405,0.848411
406,0.848411
407,0.848411
408,0.848411
409,0.848411
410,0.848411
411,0.848411
412,0.848411
413,0.848411
414,0.848411
415,0.848411
416,0.848411
417,0.848411
418,0.848411
419,0.848411
420,0.848411
421,0.848411
422,0.848411
423,0.848411
424,0.848411
425,0.848411
426,0.848411
427,0.848411
428,0.848411
429,0.848411
430,0.848411
431,0.848411
432,0.848411
433,0.848411
434,0.848411
435,0.848411
436,0.848411
437,0.848411
438,0.848411
439,0.848411
440,0.848411
441,0.848411
442,0.848411
443,0.848411
444,0.848411
445,0.848411
446,0.848411
447,0.848411
448,0.848411
449,0.848411
450,0.848411
451,0.848411
452,0.848411
453,0.848411
454,0.848411
455,0.848411
456,0.848411
457,0.848411
458,0.848411
459,0.848411
460,0.848411
461,0.848411
462,0.848411
463,0.848411
464,0.848411
465,0.848411
466,0.848411
467,0.848411
468,0.848411
469,0.848411
470,0.848411
471,0.848411
472,0.848411
473,0.848411
474,0.848411
475,0.848411
476,0.848411
477,0.848411
478,0.848411
479,0.848411
480,0.848411
481,0.848411
482,0.848411
483,0.848411
484,0.848411
485,0.848411
486,0.848411
487,0.848411
488,0.848411
489,0.848411
490,0.848411
491,0.848411
492,0.848411
493,0.848411
494,0.848411
495,0.848411
496,0.848411
497,0.848411
498,0.848411
499,0.848411
500,0.848411
501,0.848411
502,0.848411
503,0.848411
504,0.848411
505,0.848411
506,0.848411
507,0.848411
508,0.848411
509,0.848411
510,0.848411
511,0.848411
512,0.848411
513,0.848411
514,0.848411
515,0.848411
516,0.848411
517,0.848411
518,0.848411
519,0.848411
520,0.848411
521,0.848411
522,0.848411
523,0.848411
524,0.848411
525,0.848411
526,0.848411
527,0.848411
528,0.848411
529,0.848411
530,0.848411
531,0.848411
532,0.848411
533,0.848411
534,0.848411
535,0.848411
536,0.848411
537,0.848411
538,0.848411
539,0.848411
540,0.848411
541,0.848411
542,0.848411
543,0.848411
544,0.848411
545,0.848411
546,0.848411
547,0.848411
548,0.848411
549,0.848411
550,0.848411
551,0.848411
552,0.848411
553,0.848411
554,0.848411
555,0.848411
556,0.848411
557,0.848411
558,0.848411
559,0.848411
560,0.848411
561,0.848411
562,0.848411
563,0.848411
564,0.848411
565,0.848411
566,0.848411
567,0.848411
568,0.848411
569,0.848411
570,0.848411
571,0.848411
572,0.848411
573,0.848411
574,0.848411
575,0.848411
576,0.848411
577,0.848411
578,0.848411
579,0.848411
580,0.848411
581,0.848411
582,0.848411
583,0.848411
584,0.848411
585,0.848411
586,0.848411
587,0.848411
588,0.848411
589,0.848411
590,0.848411
591,0.848411
592,0.848411
593,0.848411
594,0.848411
595,0.848411
596,0.848411
597,0.848411
598,0.848411
599,0.848411
600,0.848411
601,0.848411
602,0.848411
603,0.848411
604,0.848411
605,0.848411
606,0.848411
607,0.848411
608,0.848411
609,0.848411
610,0.848411
611,0.848411
612,0.848411
613,0.848411
614,0.848411
615,0.848411
616,0.848411
617,0.848411
618,0.848411
619,0.848411
620,0.848411
621,0.848411
622,0.848411
623,0.848411
624,0.848411
625,0.848411
626,0.848411
627,0.848411
628,0.848411
629,0.848411
630,0.848411
631,0.848411
632,0.848411
633,0.848411
634,0.848411
635,0.848411
636,0.848411
637,0.848411
638,0.848411
639,0.848411
640,0.848411
641,0.848411
642,0.848411
643,0.848411
644,0.848411
645,0.848411
646,0.848411
647,0.848411
648,0.848411
649,0.848411
650,0.848411
651,0.848411
652,0.848411
653,0.848411
654,0.848411
655,0.848411
656,0.848411
657,0.848411
658,0.848411
659,0.848411
660,0.848411
661,0.848411
662,0.848411
663,0.848411
664,0.848411
665,0.848411
666,0.848411
667,0.848411
668,0.848411
669,0.848411
670,0.848411
671,0.848411
672,0.848411
673,0.848411
674,0.848411
675,0.848411
676,0.848411
677,0.848411
678,0.848411
679,0.848411
680,0.848411
681,0.848411
682,0.848411
683,0.848411
684,0.848411
685,0.848411
686,0.848411
687,0.848411
688,0.848411
689,0.848411
690,0.848411
691,0.848411
692,0.848411
693,0.848411
694,0.848411
695,0.848411
696,0.848411
697,0.848411
698,0.848411
699,0.848411
700,0.848411
701,0.848411
702,0.848411
703,0.848411
704,0.848411
705,0.848411
706,0.848411
707,0.848411
708,0.848411
709,0.848411
710,0.848411
711,0.848411
712,0.848411
713,0.848411
714,0.349144
715,0.349144
716,0.349144
717,0.349144
718,0.349144
719,0.349144
720,0.349144
721,0.349144
722,0.349144
723,0.349144
724,0.349144
725,0.349144
726,0.349144
727,0.349144
728,0.349144
729,0.349144
730,0.349144
731,0.349144
732,0.349144
733,0.349144
734,0.349144
735,0.349144
736,0.349144
737,0.349144
738,0.349144
739,0.349144
740,0.349144
741,0.349144
742,0.349144
743,0.349144
744,0.349144
745,0.349144
746,0.349144
747,0.349144
748,0.349144
749,0.349144
750,0.349144
751,0.349144
752,0.349144
753,0.349144
754,0.349144
755,0.349144
756,0.349144
757,0.349144
758,0.349144
759,0.349144
760,0.349144
761,0.349144
762,0.349144
763,0.349144
764,0.349144
765,0.349144
766,0.349144
767,0.349144
768,0.349144
769,0.349144
770,0.349144
771,0.349144
772,0.349144
773,0.349144
774,0.349144
775,0.349144
776,0.349144
777,0.349144
778,0.349144
779,0.349144
780,0.349144
781,0.349144
782,0.349144
783,0.349144
784,0.349144
785,0.349144
786,0.349144
787,0.349144
788,0.349144
789,0.349144
790,0.349144
791,0.349144
792,0.349144
793,0.349144
794,0.349144
795,0.349144
796,0.349144
797,0.349144
798,0.349144
799,0.349144
800,0.349144
801,0.349144
802,0.349144
803,0.349144
804,0.349144
805,0.349144
806,0.349144
