flow_id,size,source,target,fct
138,1023,69,139,1160
1,1023,70,0,1160
3,1023,71,1,1161
5,1023,72,2,1161
7,1023,73,3,1161
9,1023,74,4,1161
11,1023,75,5,1161
13,1023,76,6,1161
15,1023,77,7,1161
17,1023,78,8,1161
19,1023,79,9,1161
21,1023,80,10,1161
23,1023,81,11,1161
25,1023,82,12,1161
27,1023,83,13,1161
29,1023,84,14,1161
31,1023,85,15,1161
33,1023,86,16,1161
35,1023,87,17,1161
37,1023,88,18,1161
39,1023,89,19,1161
41,1023,90,20,1161
43,1023,91,21,1161
45,1023,92,22,1161
47,1023,93,23,1161
49,1023,94,24,1161
51,1023,95,25,1161
53,1023,96,26,1161
55,1023,97,27,1161
57,1023,98,28,1161
59,1023,99,29,1161
61,1023,100,30,1161
63,1023,101,31,1161
65,1023,102,32,1161
67,1023,103,33,1161
69,1023,104,34,1161
71,1023,105,35,1161
73,1023,106,36,1161
75,1023,107,37,1161
77,1023,108,38,1161
79,1023,109,39,1161
81,1023,110,40,1161
83,1023,111,41,1161
85,1023,112,42,1161
87,1023,113,43,1161
89,1023,114,44,1161
91,1023,115,45,1161
93,1023,116,46,1161
95,1023,117,47,1161
97,1023,118,48,1161
99,1023,119,49,1161
101,1023,120,50,1161
103,1023,121,51,1161
105,1023,122,52,1161
107,1023,123,53,1161
109,1023,124,54,1161
111,1023,125,55,1161
113,1023,126,56,1161
115,1023,127,57,1161
117,1023,128,58,1161
119,1023,129,59,1161
121,1023,130,60,1161
123,1023,131,61,1161
125,1023,132,62,1161
127,1023,133,63,1161
129,1023,134,64,1161
131,1023,135,65,1161
133,1023,136,66,1161
135,1023,137,67,1161
137,1023,138,68,1161
139,1023,139,69,1161
0,1023,0,70,1161
2,1023,1,71,1161
4,1023,2,72,1161
6,1023,3,73,1161
8,1023,4,74,1161
10,1023,5,75,1161
12,1023,6,76,1161
14,1023,7,77,1161
16,1023,8,78,1161
18,1023,9,79,1161
20,1023,10,80,1161
22,1023,11,81,1161
24,1023,12,82,1161
26,1023,13,83,1161
28,1023,14,84,1161
30,1023,15,85,1161
32,1023,16,86,1161
34,1023,17,87,1161
36,1023,18,88,1161
38,1023,19,89,1161
40,1023,20,90,1161
42,1023,21,91,1161
44,1023,22,92,1161
46,1023,23,93,1161
48,1023,24,94,1161
50,1023,25,95,1161
52,1023,26,96,1161
54,1023,27,97,1161
56,1023,28,98,1161
58,1023,29,99,1161
60,1023,30,100,1161
62,1023,31,101,1161
64,1023,32,102,1161
66,1023,33,103,1161
68,1023,34,104,1161
70,1023,35,105,1161
72,1023,36,106,1161
74,1023,37,107,1161
76,1023,38,108,1161
78,1023,39,109,1161
80,1023,40,110,1161
82,1023,41,111,1161
84,1023,42,112,1161
86,1023,43,113,1161
88,1023,44,114,1161
90,1023,45,115,1161
92,1023,46,116,1161
94,1023,47,117,1161
96,1023,48,118,1161
98,1023,49,119,1161
100,1023,50,120,1161
102,1023,51,121,1161
104,1023,52,122,1161
106,1023,53,123,1161
108,1023,54,124,1161
110,1023,55,125,1161
112,1023,56,126,1161
114,1023,57,127,1161
116,1023,58,128,1161
118,1023,59,129,1161
120,1023,60,130,1161
122,1023,61,131,1161
124,1023,62,132,1161
126,1023,63,133,1161
128,1023,64,134,1161
130,1023,65,135,1161
132,1023,66,136,1161
134,1023,67,137,1161
136,1023,68,138,1161
