flow_id,size,source,target,fct
297,93,770,638,1671
300,56,403,444,992
299,130,189,593,1009
304,116,529,516,1030
301,64,964,1007,1910
237,10372,314,588,21550
306,108,761,668,1436
307,109,371,991,1414
308,65,577,49,940
283,142,528,843,10438
286,133,286,862,9907
311,80,207,388,1503
309,64,72,427,1546
312,39,439,707,1243
256,9575,663,816,20851
314,142,737,803,1823
316,113,367,504,2151
320,101,875,136,1315
321,75,642,891,1011
264,10360,44,369,20609
323,91,878,371,1737
305,82,835,61,7770
324,76,245,138,1455
318,78,923,118,3065
315,113,201,121,3704
329,96,154,162,1853
331,132,135,643,1504
325,147,208,187,3332
310,98,610,937,7606
327,129,940,971,3088
337,92,969,110,947
336,122,882,203,1152
340,79,170,890,516
338,113,911,657,1676
339,89,96,254,1718
341,121,706,634,2003
342,86,441,696,2026
345,52,801,960,1559
319,80,335,287,7904
328,110,291,295,5958
335,79,224,296,4226
333,141,171,306,4480
317,102,883,311,8148
346,108,748,340,2552
347,75,112,254,1243
326,170,540,361,6287
349,91,499,389,1940
348,111,157,667,2008
350,103,922,241,1437
351,85,545,801,1001
282,9895,953,272,21449
290,10344,781,233,21078
330,95,463,706,9715
365,107,562,321,350
359,121,567,767,1442
358,103,988,986,1749
294,9996,134,509,20417
334,181,929,445,9422
354,101,322,556,4107
360,94,771,1006,2282
367,78,453,947,1098
369,108,516,7,1258
368,93,716,25,1347
302,9652,282,1023,20290
303,9868,983,456,20313
371,104,967,39,1211
373,80,977,266,957
372,83,80,274,1042
374,99,202,588,892
378,86,999,66,980
343,73,776,485,11125
376,118,830,868,1672
381,134,503,924,1680
382,96,793,893,1132
384,80,864,37,1633
383,72,832,863,1787
385,142,294,886,970
313,9932,362,491,19568
380,130,263,613,3688
363,114,891,634,7956
356,97,426,187,9493
377,106,271,524,4711
389,127,582,13,1265
392,107,907,576,514
390,97,61,625,1146
388,88,437,816,1463
387,125,341,875,1464
366,137,952,136,8176
370,87,444,191,7055
364,59,776,212,8552
355,103,47,226,10627
391,116,834,53,1564
394,102,274,149,1786
379,100,984,467,5822
361,112,463,484,10450
322,9682,789,570,21216
397,133,636,302,1594
398,130,767,9,1404
332,9957,621,701,21145
400,139,144,213,1844
402,120,1001,934,1812
386,60,128,527,7744
403,99,850,274,1487
407,94,730,278,1368
405,87,421,555,1803
408,72,467,584,940
344,10571,486,995,21790
410,143,446,51,893
409,132,1016,89,1209
411,71,525,191,816
414,118,851,121,1594
412,107,85,170,1754
352,9830,735,522,20462
353,9935,246,19,20470
417,115,343,159,1294
393,61,426,511,10401
416,124,449,279,1546
