flow_id,size,source,target,fct
190,1023,95,191,1583
1,1023,96,0,2046
3,1023,97,1,2046
5,1023,98,2,2046
7,1023,99,3,2046
9,1023,100,4,2046
11,1023,101,5,2046
13,1023,102,6,2046
15,1023,103,7,2046
17,1023,104,8,2046
19,1023,105,9,2046
21,1023,106,10,2046
23,1023,107,11,2046
25,1023,108,12,2046
27,1023,109,13,2046
29,1023,110,14,2046
31,1023,111,15,2046
33,1023,112,16,2046
35,1023,113,17,2046
37,1023,114,18,2046
39,1023,115,19,2046
41,1023,116,20,2046
43,1023,117,21,2046
45,1023,118,22,2046
47,1023,119,23,2046
49,1023,120,24,2046
51,1023,121,25,2046
53,1023,122,26,2046
55,1023,123,27,2046
57,1023,124,28,2046
59,1023,125,29,2046
61,1023,126,30,2046
63,1023,127,31,2046
65,1023,128,32,2046
67,1023,129,33,2046
69,1023,130,34,2046
71,1023,131,35,2046
73,1023,132,36,2046
75,1023,133,37,2046
77,1023,134,38,2046
79,1023,135,39,2046
81,1023,136,40,2046
83,1023,137,41,2046
85,1023,138,42,2046
87,1023,139,43,2046
89,1023,140,44,2046
91,1023,141,45,2046
93,1023,142,46,2046
95,1023,143,47,2046
97,1023,144,48,2046
99,1023,145,49,2046
101,1023,146,50,2046
103,1023,147,51,2046
105,1023,148,52,2046
107,1023,149,53,2046
109,1023,150,54,2046
111,1023,151,55,2046
113,1023,152,56,2046
115,1023,153,57,2046
117,1023,154,58,2046
119,1023,155,59,2046
121,1023,156,60,2046
123,1023,157,61,2046
125,1023,158,62,2046
127,1023,159,63,2046
129,1023,160,64,2046
131,1023,161,65,2046
133,1023,162,66,2046
135,1023,163,67,2046
137,1023,164,68,2046
139,1023,165,69,2046
141,1023,166,70,2046
143,1023,167,71,2046
145,1023,168,72,2046
147,1023,169,73,2046
149,1023,170,74,2046
151,1023,171,75,2046
153,1023,172,76,2046
155,1023,173,77,2046
157,1023,174,78,2046
159,1023,175,79,2046
161,1023,176,80,2046
163,1023,177,81,2046
165,1023,178,82,2046
167,1023,179,83,2046
169,1023,180,84,2046
171,1023,181,85,2046
173,1023,182,86,2046
175,1023,183,87,2046
177,1023,184,88,2046
179,1023,185,89,2046
181,1023,186,90,2046
183,1023,187,91,2046
185,1023,188,92,2046
187,1023,189,93,2046
189,1023,190,94,2046
191,1023,191,95,2046
0,1023,0,96,2046
2,1023,1,97,2046
4,1023,2,98,2046
6,1023,3,99,2046
8,1023,4,100,2046
10,1023,5,101,2046
12,1023,6,102,2046
14,1023,7,103,2046
16,1023,8,104,2046
18,1023,9,105,2046
20,1023,10,106,2046
22,1023,11,107,2046
24,1023,12,108,2046
26,1023,13,109,2046
28,1023,14,110,2046
30,1023,15,111,2046
32,1023,16,112,2046
34,1023,17,113,2046
36,1023,18,114,2046
38,1023,19,115,2046
40,1023,20,116,2046
42,1023,21,117,2046
44,1023,22,118,2046
46,1023,23,119,2046
48,1023,24,120,2046
50,1023,25,121,2046
52,1023,26,122,2046
54,1023,27,123,2046
56,1023,28,124,2046
58,1023,29,125,2046
60,1023,30,126,2046
62,1023,31,127,2046
64,1023,32,128,2046
66,1023,33,129,2046
68,1023,34,130,2046
70,1023,35,131,2046
72,1023,36,132,2046
74,1023,37,133,2046
76,1023,38,134,2046
78,1023,39,135,2046
80,1023,40,136,2046
82,1023,41,137,2046
84,1023,42,138,2046
86,1023,43,139,2046
88,1023,44,140,2046
90,1023,45,141,2046
92,1023,46,142,2046
94,1023,47,143,2046
96,1023,48,144,2046
98,1023,49,145,2046
100,1023,50,146,2046
102,1023,51,147,2046
104,1023,52,148,2046
106,1023,53,149,2046
108,1023,54,150,2046
110,1023,55,151,2046
112,1023,56,152,2046
114,1023,57,153,2046
116,1023,58,154,2046
118,1023,59,155,2046
120,1023,60,156,2046
122,1023,61,157,2046
124,1023,62,158,2046
126,1023,63,159,2046
128,1023,64,160,2046
130,1023,65,161,2046
132,1023,66,162,2046
134,1023,67,163,2046
136,1023,68,164,2046
138,1023,69,165,2046
140,1023,70,166,2046
142,1023,71,167,2046
144,1023,72,168,2046
146,1023,73,169,2046
148,1023,74,170,2046
150,1023,75,171,2046
152,1023,76,172,2046
154,1023,77,173,2046
156,1023,78,174,2046
158,1023,79,175,2046
160,1023,80,176,2046
162,1023,81,177,2046
164,1023,82,178,2046
166,1023,83,179,2046
168,1023,84,180,2046
170,1023,85,181,2046
172,1023,86,182,2046
174,1023,87,183,2046
176,1023,88,184,2046
178,1023,89,185,2046
180,1023,90,186,2046
182,1023,91,187,2046
184,1023,92,188,2046
186,1023,93,189,2046
188,1023,94,190,2046
