fraction, round-robin, simple-drain
0.445312,2045.13,1477
0.447266,2045.13,1479
0.449219,2045.14,1481
0.451172,2045.14,1483
0.453125,2045.15,1485
0.455078,2045.15,1487
0.457031,2045.16,1489
0.458984,2045.16,1491
0.460938,2045.17,1493
0.462891,2045.17,1495
0.464844,2045.18,1497
0.466797,2045.18,1499
0.46875,2045.19,1501
0.470703,2045.19,1503
0.472656,2045.19,1505
0.474609,2045.2,1507
0.476562,2045.2,1509
0.478516,2045.21,1511
0.480469,2045.21,1513
0.482422,2045.21,1515
0.484375,2045.22,1517
0.486328,2045.22,1519
0.488281,2045.23,1521
0.490234,2045.23,1523
0.492188,2045.24,1525
0.494141,2045.24,1527
0.496094,2045.24,1529
0.498047,2045.25,1531
0.5,2045.25,1533
0.501953,2045.25,1535
0.503906,2045.26,1537
0.505859,2045.26,1539
0.507812,2045.27,1541
0.509766,2045.27,1543
0.511719,2045.27,1545
0.513672,2045.28,1547
0.515625,2045.28,1549
0.517578,2045.28,1551
0.519531,2045.29,1553
0.521484,2045.29,1555
0.523438,2045.3,1557
0.525391,2045.3,1559
0.527344,2045.3,1561
0.529297,2045.31,1563
0.53125,2045.31,1565
0.533203,2045.31,1567
0.535156,2045.32,1569
0.537109,2045.32,1571
0.539062,2045.32,1573
0.541016,2045.33,1575
0.542969,2045.33,1577
0.544922,2045.33,1579
0.546875,2045.34,1581
0.548828,2045.34,1583
0.550781,2045.34,1585
0.552734,2045.35,1587
0.554688,2045.35,1589
0.556641,2045.35,1591
0.558594,2045.36,1593
0.560547,2045.36,1595
0.5625,2045.36,1597
0.564453,2045.37,1599
0.566406,2045.37,1601
0.568359,2045.37,1603
0.570312,2045.38,1605
0.572266,2045.38,1607
0.574219,2045.38,1609
0.576172,2045.38,1611
0.578125,2045.39,1613
0.580078,2045.39,1615
0.582031,2045.39,1617
0.583984,2045.39,1619
0.585938,2045.4,1621
0.587891,2045.4,1623
0.589844,2045.4,1625
0.591797,2045.41,1627
0.59375,2045.41,1629
0.595703,2045.41,1631
0.597656,2045.42,1633
0.599609,2045.42,1635
0.601562,2045.42,1637
0.603516,2045.42,1639
0.605469,2045.43,1641
0.607422,2045.43,1643
0.609375,2045.43,1645
0.611328,2045.43,1647
0.613281,2045.44,1649
0.615234,2045.44,1651
0.617188,2045.44,1653
0.619141,2045.44,1655
0.621094,2045.45,1657
0.623047,2045.45,1659
0.625,2045.45,1661
0.626953,2045.45,1663
0.628906,2045.46,1665
0.630859,2045.46,1667
0.632812,2045.46,1669
0.634766,2045.46,1671
0.636719,2045.47,1673
0.638672,2045.47,1675
0.640625,2045.47,1677
0.642578,2045.47,1679
0.644531,2045.48,1681
0.646484,2045.48,1683
0.648438,2045.48,1685
0.650391,2045.48,1687
0.652344,2045.49,1689
0.654297,2045.49,1691
0.65625,2045.49,1693
0.658203,2045.49,1695
0.660156,2045.49,1697
0.662109,2045.5,1699
0.664062,2045.5,1701
0.666016,2045.5,1703
0.667969,2045.5,1705
0.669922,2045.51,1707
0.671875,2045.51,1709
0.673828,2045.52,1711
0.675781,2045.52,1713
0.677734,2045.52,1715
0.679688,2045.53,1717
0.681641,2045.53,1719
0.683594,2045.54,1721
0.685547,2045.54,1723
0.6875,2045.55,1725
0.689453,2045.55,1727
0.691406,2045.55,1729
0.693359,2045.56,1731
0.695312,2045.56,1733
0.697266,2045.57,1735
0.699219,2045.57,1737
0.701172,2045.57,1739
0.703125,2045.58,1741
0.705078,2045.58,1743
0.707031,2045.59,1745
0.708984,2045.59,1747
0.710938,2045.59,1749
0.712891,2045.6,1751
0.714844,2045.6,1753
0.716797,2045.6,1755
0.71875,2045.61,1757
0.720703,2045.61,1759
0.722656,2045.62,1761
0.724609,2045.62,1763
0.726562,2045.62,1765
0.728516,2045.63,1767
0.730469,2045.63,1769
0.732422,2045.63,1771
0.734375,2045.64,1773
0.736328,2045.64,1775
0.738281,2045.65,1777
0.740234,2045.65,1779
0.742188,2045.65,1781
0.744141,2045.66,1783
0.746094,2045.66,1785
0.748047,2045.66,1787
0.75,2045.67,1789
0.751953,2045.67,1791
0.753906,2045.67,1793
0.755859,2045.68,1795
0.757812,2045.68,1797
0.759766,2045.68,1799
0.761719,2045.69,1801
0.763672,2045.69,1803
0.765625,2045.69,1805
0.767578,2045.7,1807
0.769531,2045.7,1809
0.771484,2045.7,1811
0.773438,2045.71,1813
0.775391,2045.71,1815
0.777344,2045.71,1817
0.779297,2045.72,1819
0.78125,2045.72,1821
0.783203,2045.72,1823
0.785156,2045.73,1825
0.787109,2045.73,1827
0.789062,2045.73,1829
0.791016,2045.74,1831
0.792969,2045.74,1833
0.794922,2045.74,1835
0.796875,2045.75,1837
0.798828,2045.75,1839
0.800781,2045.75,1841
0.802734,2045.75,1843
0.804688,2045.76,1845
0.806641,2045.76,1847
0.808594,2045.76,1849
0.810547,2045.77,1851
0.8125,2045.77,1853
0.814453,2045.77,1855
0.816406,2045.78,1857
0.818359,2045.78,1859
0.820312,2045.78,1861
0.822266,2045.78,1863
0.824219,2045.79,1865
0.826172,2045.79,1867
0.828125,2045.79,1869
0.830078,2045.8,1871
0.832031,2045.8,1873
0.833984,2045.8,1875
0.835938,2045.8,1877
0.837891,2045.81,1879
0.839844,2045.81,1881
0.841797,2045.81,1883
0.84375,2045.81,1885
0.845703,2045.82,1887
0.847656,2045.82,1889
0.849609,2045.82,1891
0.851562,2045.83,1893
0.853516,2045.83,1895
0.855469,2045.83,1897
0.857422,2045.83,1899
0.859375,2045.84,1901
0.861328,2045.84,1903
0.863281,2045.84,1905
0.865234,2045.84,1907
0.867188,2045.85,1909
0.869141,2045.85,1911
0.871094,2045.85,1913
0.873047,2045.85,1915
0.875,2045.86,1917
0.876953,2045.86,1919
0.878906,2045.86,1921
0.880859,2045.86,1923
0.882812,2045.87,1925
0.884766,2045.87,1927
0.886719,2045.87,1929
0.888672,2045.87,1931
0.890625,2045.88,1933
0.892578,2045.88,1935
0.894531,2045.88,1937
0.896484,2045.88,1939
0.898438,2045.89,1941
0.900391,2045.89,1943
0.902344,2045.89,1945
0.904297,2045.89,1947
0.90625,2045.9,1949
0.908203,2045.9,1951
0.910156,2045.9,1953
0.912109,2045.9,1955
0.914062,2045.91,1957
0.916016,2045.91,1959
0.917969,2045.91,1961
0.919922,2045.91,1963
0.921875,2045.92,1965
0.923828,2045.92,1967
0.925781,2045.92,1969
0.927734,2045.92,1971
0.929688,2045.92,1973
0.931641,2045.93,1975
0.933594,2045.93,1977
0.935547,2045.93,1979
0.9375,2045.93,1981
0.939453,2045.94,1983
0.941406,2045.94,1985
0.943359,2045.94,1987
0.945312,2045.94,1989
0.947266,2045.94,1991
0.949219,2045.95,1993
0.951172,2045.95,1995
0.953125,2045.95,1997
0.955078,2045.95,1999
0.957031,2045.96,2001
0.958984,2045.96,2003
0.960938,2045.96,2005
0.962891,2045.96,2007
0.964844,2045.96,2009
0.966797,2045.97,2011
0.96875,2045.97,2013
0.970703,2045.97,2015
0.972656,2045.97,2017
0.974609,2045.97,2019
0.976562,2045.98,2021
0.978516,2045.98,2023
0.980469,2045.98,2025
0.982422,2045.98,2027
0.984375,2045.98,2029
0.986328,2045.99,2031
0.988281,2045.99,2033
0.990234,2045.99,2035
0.992188,2045.99,2037
0.994141,2045.99,2039
0.996094,2046,2041
0.998047,2046,2043
1,2046,2045
