flow_id,size,source,target,fct
94,1023,47,95,1559
1,1023,48,0,2046
3,1023,49,1,2046
5,1023,50,2,2046
7,1023,51,3,2046
9,1023,52,4,2046
11,1023,53,5,2046
13,1023,54,6,2046
15,1023,55,7,2046
17,1023,56,8,2046
19,1023,57,9,2046
21,1023,58,10,2046
23,1023,59,11,2046
25,1023,60,12,2046
27,1023,61,13,2046
29,1023,62,14,2046
31,1023,63,15,2046
33,1023,64,16,2046
35,1023,65,17,2046
37,1023,66,18,2046
39,1023,67,19,2046
41,1023,68,20,2046
43,1023,69,21,2046
45,1023,70,22,2046
47,1023,71,23,2046
49,1023,72,24,2046
51,1023,73,25,2046
53,1023,74,26,2046
55,1023,75,27,2046
57,1023,76,28,2046
59,1023,77,29,2046
61,1023,78,30,2046
63,1023,79,31,2046
65,1023,80,32,2046
67,1023,81,33,2046
69,1023,82,34,2046
71,1023,83,35,2046
73,1023,84,36,2046
75,1023,85,37,2046
77,1023,86,38,2046
79,1023,87,39,2046
81,1023,88,40,2046
83,1023,89,41,2046
85,1023,90,42,2046
87,1023,91,43,2046
89,1023,92,44,2046
91,1023,93,45,2046
93,1023,94,46,2046
95,1023,95,47,2046
0,1023,0,48,2046
2,1023,1,49,2046
4,1023,2,50,2046
6,1023,3,51,2046
8,1023,4,52,2046
10,1023,5,53,2046
12,1023,6,54,2046
14,1023,7,55,2046
16,1023,8,56,2046
18,1023,9,57,2046
20,1023,10,58,2046
22,1023,11,59,2046
24,1023,12,60,2046
26,1023,13,61,2046
28,1023,14,62,2046
30,1023,15,63,2046
32,1023,16,64,2046
34,1023,17,65,2046
36,1023,18,66,2046
38,1023,19,67,2046
40,1023,20,68,2046
42,1023,21,69,2046
44,1023,22,70,2046
46,1023,23,71,2046
48,1023,24,72,2046
50,1023,25,73,2046
52,1023,26,74,2046
54,1023,27,75,2046
56,1023,28,76,2046
58,1023,29,77,2046
60,1023,30,78,2046
62,1023,31,79,2046
64,1023,32,80,2046
66,1023,33,81,2046
68,1023,34,82,2046
70,1023,35,83,2046
72,1023,36,84,2046
74,1023,37,85,2046
76,1023,38,86,2046
78,1023,39,87,2046
80,1023,40,88,2046
82,1023,41,89,2046
84,1023,42,90,2046
86,1023,43,91,2046
88,1023,44,92,2046
90,1023,45,93,2046
92,1023,46,94,2046
